Protein_1	Protein_2
ino1	mce1D
ino1	Rv0176
ino1	Rv0183
ino1	Rv0184
ino1	Rv0185
ino1	zmp1
ino1	Rv0199
ino1	Rv0200
ino1	Rv0201c
ino1	mmpL11
ino1	Rv0204c
ino1	mmpL3
ino1	Rv0207c
ino1	Rv0216
ino1	Rv0219
ino1	Rv0221
ino1	Rv0223c
ino1	Rv0224c
ino1	Rv0225
ino1	php
ino1	Rv0232
ino1	fabG4
ino1	Rv0247c
ino1	Rv0248c
ino1	nirD
ino1	aac
ino1	Rv0263c
ino1	fadD2
ino1	fadE6
ino1	Rv0273c
ino1	Rv0276
ino1	Rv0281
ino1	eccA3
ino1	eccC3
ino1	esxG
ino1	eccD3
ino1	Rv0293c
ino1	tam
ino1	Rv0308
ino1	Rv0310c
ino1	Rv0314c
ino1	cyp135A1
ino1	Rv0333
ino1	Rv0340
ino1	Rv0369c
ino1	Rv0371c
ino1	Rv0373c
ino1	Rv0377
ino1	Rv0380c
ino1	Rv0385
ino1	Rv0398c
ino1	pta
ino1	ackA
ino1	mutT3
ino1	Rv0420c
ino1	Rv0421c
ino1	thiC
ino1	Rv0434
ino1	Rv0435c
ino1	rskA
ino1	sigK
ino1	Rv0448c
ino1	echA2
ino1	Rv0458
ino1	Rv0459
ino1	Rv0460
ino1	Rv0461
ino1	Rv0463
ino1	Rv0472c
ino1	hbhA
ino1	Rv0477
ino1	Rv0479c
ino1	Rv0480c
ino1	Rv0484c
ino1	senX3
ino1	Rv0497
ino1	hemC
ino1	Rv0516c
ino1	Rv0525
ino1	Rv0535
ino1	Rv0541c
ino1	fadD8
ino1	mgtA
ino1	grcC1
ino1	htpX
ino1	Rv0566c
ino1	cyp135B1
ino1	Rv0575c
ino1	Rv0576
ino1	Rv0580c
ino1	lpqN
ino1	mce2C
ino1	mce2D
ino1	Rv0600c
ino1	galK
ino1	echA3
ino1	nusG
ino1	Rv0658c
ino1	rpoB
ino1	Rv0669c
ino1	lpqP
ino1	echA4
ino1	Rv0686
ino1	Rv0695
ino1	Rv0697
ino1	atsA
ino1	Rv0712
ino1	Rv0713
ino1	Rv0725c
ino1	Rv0726c
ino1	fucA
ino1	Rv0731c
ino1	Rv0738
ino1	mmsB
ino1	Rv0756c
ino1	Rv0791c
ino1	Rv0825c
ino1	kmtR
ino1	Rv0830
ino1	moaE2
ino1	Rv0877
ino1	Rv0893c
ino1	Rv0909
ino1	Rv0958
ino1	Rv0965c
ino1	accA2
ino1	grcC2
Rv0047c	rpsF
Rv0047c	rplI
Rv0047c	Rv0081
Rv0047c	ctpA
Rv0047c	ctpB
Rv0047c	ldtA
Rv0047c	Rv0128
Rv0047c	pntAa
Rv0047c	yrbE1A
Rv0047c	mce1B
Rv0047c	Rv0177
Rv0047c	ilvD
Rv0047c	Rv0190
Rv0047c	Rv0192
Rv0047c	Rv0203
Rv0047c	echA1
Rv0047c	Rv0227c
Rv0047c	fadE5
Rv0047c	Rv0245
Rv0047c	Rv0258c
Rv0047c	Rv0264c
Rv0047c	Rv0309
Rv0047c	Rv0313
Rv0047c	rmlA
Rv0047c	mmpL1
Rv0047c	glnH
Rv0047c	Rv0412c
Rv0047c	Rv0426c
Rv0047c	Rv0431
Rv0047c	mmpL4
Rv0047c	Rv0455c
Rv0047c	Rv0464c
Rv0047c	Rv0474
Rv0047c	Rv0476
Rv0047c	Rv0498
Rv0047c	mmpL2
Rv0047c	hemA
Rv0047c	Rv0513
Rv0047c	Rv0514
Rv0047c	Rv0530
Rv0047c	galE2
Rv0047c	Rv0556
Rv0047c	yrbE2A
Rv0047c	mmpL5
Rv0047c	rpsQ
Rv0047c	rslA
Rv0047c	Rv0759c
Rv0047c	Rv0767c
Rv0047c	Rv0810c
Rv0047c	Rv0814c
Rv0047c	phoT
Rv0047c	phoY2
Rv0047c	mog
Rv0047c	Rv0870c
Rv0047c	Rv0898c
Rv0047c	echA6
Rv0047c	pstB
Rv0047c	csoR
Rv0047c	ctpV
Rv0047c	moaB2
Rv0048c	Rv0049
Rv0048c	dnaB
Rv0048c	icd2
Rv0048c	Rv0072
Rv0048c	Rv0083
Rv0048c	hycP
Rv0048c	hycE
Rv0048c	mtn
Rv0048c	Rv0121c
Rv0048c	mak
Rv0048c	Rv0133
Rv0048c	ephF
Rv0048c	Rv0141c
Rv0048c	Rv0143c
Rv0048c	Rv0145
Rv0048c	Rv0146
Rv0048c	Rv0147
Rv0048c	Rv0148
Rv0048c	ptbB
Rv0048c	Rv0161
Rv0048c	mce1C
Rv0048c	mce1D
Rv0048c	Rv0176
Rv0048c	Rv0183
Rv0048c	Rv0184
Rv0048c	Rv0185
Rv0048c	zmp1
Rv0048c	Rv0199
Rv0048c	Rv0200
Rv0048c	Rv0201c
Rv0048c	mmpL11
Rv0048c	Rv0204c
Rv0048c	mmpL3
Rv0048c	Rv0207c
Rv0048c	Rv0216
Rv0048c	Rv0219
Rv0048c	Rv0221
Rv0048c	Rv0223c
Rv0048c	Rv0224c
Rv0048c	Rv0225
Rv0048c	php
Rv0048c	Rv0232
Rv0048c	fabG4
Rv0048c	Rv0247c
Rv0048c	Rv0248c
Rv0048c	nirD
Rv0048c	aac
Rv0048c	Rv0263c
Rv0048c	fadD2
Rv0048c	fadE6
Rv0048c	Rv0273c
Rv0048c	Rv0276
Rv0048c	Rv0281
Rv0048c	eccA3
Rv0048c	eccC3
Rv0048c	esxG
Rv0048c	eccD3
Rv0048c	Rv0293c
Rv0048c	tam
Rv0048c	Rv0308
Rv0048c	Rv0310c
Rv0048c	Rv0314c
Rv0048c	cyp135A1
Rv0048c	Rv0333
Rv0048c	Rv0340
Rv0048c	Rv0369c
Rv0048c	Rv0371c
Rv0048c	Rv0373c
Rv0048c	Rv0377
Rv0048c	Rv0380c
